Fighter_Name,Fighter_URL,W/L,Opponent,Stage,Weight,ID,Competition,Method,Year
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Quentin Rosensweig,SPF,ABS,7672,Kakuto 5,Inside heel hook,2015
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Neiman Gracie,SF,94KG,8190,NoGi Pan Ams,RNC,2015
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Richie MartinezRichie Martinez,SF,ABS,8785,Kakuto Challenge,Heel hook,2015
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Leo NogueiraLeo Nogueira,SF,94KG,9059,Atlanta W. Open,Points,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Romulo AzevedoRomulo Azevedo,SF,94KG,9110,UAEJJF NYC Pro,N/A,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Abraham MarteAbraham Marte,4F,HWABS,9116,UAEJJF NYC Pro,Cross choke,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Andre GalvaoAndre Galvao,R2,ABS,9373,Pan American,Choke,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Joao Soares,F,100KG,9500,Boston Spring O.,Triangle,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Bernardo FariaBernardo Faria,R2,ABS,10092,World Champ.,Triangle armbar,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Joao RochaJoao Rocha,SF,ABS,10125,BJJ Tour - CT,Choke from back,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Marcos TinocoMarcos Tinoco,4F,ABS,10279,NY Summer Open,Points,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Mike Hillebrand,R1,84KG,10495,EBI 8,Inside heel hook,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Dillon DanisDillon Danis,SF,ABS,10690,NoGi Pan Ams,Arm in guillotine,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Yuri SimoesYuri Simoes,SF,O97KG,10950,NoGi Worlds,Pts: 19x0,2016
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Leo NogueiraLeo Nogueira,F,110KG,11677,UAEJJF Orlando,Points,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Helton JoseHelton Jose,SF,ABS,11693,Atlanta W. Open,Pts: 10x0,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Jonathan SatavaJonathan Satava,4F,U110KG,11953,UAEJJF NY Pro,Points,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Keenan CorneliusKeenan Cornelius,F,U110KG,12007,LA National Pro,Points,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Tanner RiceTanner Rice,8F,94KG,12230,Pan American,Pts: 4x2,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Gianni GrippoGianni Grippo,F,ABS,12425,NY Spring No-Gi,Points,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Joao RochaJoao Rocha,R1,ABS,13032,World Champ.,Botinha,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Leandro LoLeandro Lo,8F,94KG,13201,World Champ.,Brabo choke,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Mahamed AlyMahamed Aly,F,O97KG,13437,NY S. No-Gi Open,Calf slicer,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,DJ JacksonDJ Jackson,SF,ABS,13445,NY S. No-Gi Open,Points,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Gordon RyanGordon Ryan,SF,ABS,13658,Grappling Ind.,Reverse triangle,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Craig JonesCraig Jones,SF,ABS,14563,EBI 14,Inside heel hook,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Joao AssisJoao Assis,SF,97KG,14726,NoGi Worlds,Pts: 2x0,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Keenan CorneliusKeenan Cornelius,R1,ABS,14738,NoGi Worlds,RNC,2017
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Dany GerardDany Gerard,SF,110KG,14997,US National Pro,"Pts: 0x0, Adv",2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Matt LeightonMatt Leighton,RR,110KG,15231,Continental Pro,Points,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Tanner RiceTanner Rice,F,O85KG,15322,Marianas EP,DQ,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Tanner RiceTanner Rice,4F,94KG,15451,Pan American,Pts: 7x2,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Matt LeightonMatt Leighton,SPF,93KG,16323,F2W 73,Triangle armbar,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Fellipe TrovoFellipe Trovo,4F,95KG,16374,ACB North America,Pts: 4x2,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Victor SilverioVictor Silverio,8F,ABS,16387,ACB North America,Referee Decision,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Rafael VasconcelosRafael Vasconcelos,F,97KG,17402,Washington NGO,DQ,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Diogo SampaioDiogo Sampaio,8F,ABS,17409,No Gi Pan Am.,DQ,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Max GimenisMax Gimenis,4F,O97KG,18718,NoGi Worlds,Pts: 6x0,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Yuri SimoesYuri Simoes,R3,ABS,18741,NoGi Worlds,Pts: 5x0,2018
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Keenan CorneliusKeenan Cornelius,SPF,ABS,18891,Coast Grappling,Pts: 34x0,2019
"Aaron ""Tex"" Johnson |",aaron-johnson,L,Patrick GaudioPatrick Gaudio,4F,94KG,19678,Pan American,Pts: 15x0,2019
