Fighter,Peak_Elo,Year
Gabrieli Pessanha |,2029.14,2025
Fellipe Andrew |,1966.5,2024
Erich Munis |,1951.37,2025
Fellipe Andrew,1949.12,2024
Leandro Lo |,1946.66,2017
Gordon Ryan |,1939.87,2024
Kaynan Duarte,1936.06,2024
Tainan Dalpra |,1931.49,2025
Gabrieli Pessanha,1929.94,2025
Mica Galvão |,1921.38,2025
"Marcus Almeida ""Buchecha"" |",1913.52,2019
Nicholas Meregali |,1913.09,2024
Erich Munis,1912.8,2025
Kaynan Duarte |,1907.1,2024
Paulo Miyao |,1904.16,2019
Adam Wardziński |,1903.33,2025
"Felipe ""Preguiça"" Pena |",1903.33,2021
Tainan Dalpra,1899.85,2025
Diego Oliveira |,1899.7,2025
Nicholas Meregali,1898.58,2024
Meyram Maquine |,1897.69,2025
Isaque Bahiense |,1884.35,2022
Mica Galvao,1878.63,2025
Jansen Gomes |,1876.62,2025
Victor Hugo,1866.34,2025
Victor Hugo |,1864.1,2024
Diego Oliveira,1863.73,2025
Marcus Almeida,1859.1,2019
Isaque Bahiense,1855.31,2022
Gordon Ryan,1854.11,2024
Lucas Barbosa |,1854.01,2022
André Galvão |,1851.59,2016
Meyram Maquine,1850.57,2024
"Roberto ""Cyborg"" Abreu |",1849.81,2023
Mayssa Bastos |,1848.11,2025
Adam Wardzinski,1844.28,2025
Gustavo Batista |,1843.81,2023
Lucas Protásio |,1841.15,2025
Jansen Gomes,1840.32,2025
Diogo Reis |,1836.75,2025
Henrique Cardoso |,1831.29,2024
Dante Leon |,1831.1,2025
Felipe Pena,1829.08,2022
Gustavo Batista,1828.97,2023
Andy Murasaki |,1828.67,2025
Ronaldo Junior |,1827.92,2025
Horlando Monteiro |,1827.27,2024
Tommy Langaker |,1821.68,2024
Julia Alves |,1820.77,2024
Andy Murasaki,1818.11,2025
Rubens Charles Cobrinha |,1817.03,2017
Yara Soares |,1816.46,2025
Deandre Corbe |,1815.48,2024
Gutemberg Pereira |,1813.96,2024
Roosevelt Sousa |,1813.87,2023
Anna Rodrigues |,1809.63,2024
Uanderson Ferreira |,1808.54,2025
Lucas Barbosa,1808.19,2022
Bernardo Faria |,1808.15,2016
Matheus Gabriel |,1808.13,2025
Roberto Jimenez |,1804.68,2025
Rider Zuchi |,1802.28,2023
Hiago George |,1802.19,2021
Leandro Lo,1802.01,2022
Ronaldo Junior,1799.36,2025
Gianni Grippo |,1797.21,2019
Larissa Dias |,1796.09,2025
Michael Musumeci |,1795.79,2025
Johnatha Alves |,1794.89,2023
Oliver Taza |,1792.68,2023
Roberto Abreu,1789.73,2023
Gutemberg Pereira,1789.57,2025
"Gabrielle ""Gabi"" Garcia |",1789.42,2020
Diogo Reis,1789.23,2025
Matheus Gabriel,1787.84,2025
Johnatha Alves,1786.88,2023
Victor Honório |,1785.03,2024
André Porfirio |,1782.87,2024
Marcelo Garcia |,1782.76,2011
Keenan Cornelius,1781.66,2020
Fabricio Andrey |,1781.61,2022
Rodolfo Vieira,1781.35,2015
Catriel Oliveira |,1781.19,2025
Cole Abate |,1781.12,2025
Alex Enriquez |,1780.32,2025
Kennedy Maciel |,1779.93,2024
Ffion Davies |,1779.83,2025
Dimitrius Souza |,1778.59,2017
Isaac Doederlein |,1776.55,2023
Alex Sodré |,1773.33,2025
Giancarlo Bodoni |,1772.06,2024
Vagner Rocha |,1772.03,2024
Bruno Malfacine |,1770.91,2019
Paulo Miyao,1770.42,2019
Michael Langhi |,1770.4,2018
Erberth Santos,1768.6,2020
João Gabriel Rocha |,1766.26,2023
Mason Fowler |,1764.18,2024
Marcus Ribeiro |,1763.66,2025
Kade Ruotolo,1762.56,2024
Ingridd Alves |,1761.74,2024
Alexander Trans |,1761.66,2023
Pedro Marinho |,1761.55,2025
Thalison Soares |,1761.24,2024
Ryan Aitken |,1760.41,2025
Samuel Nagai |,1760.11,2024
Rafael Lovato Jr |,1759.47,2025
