Fighter,Year,ID,Rating
Roberto 'Roleta' Magalhães |,1996,77,1548.0
Roberto 'Roleta' Magalhães |,1996,78,1575.61
Roberto 'Roleta' Magalhães |,1996,81,1556.18
Roberto 'Roleta' Magalhães |,1996,87,1596.48
Roberto 'Roleta' Magalhães |,1996,89,1634.88
Roberto 'Roleta' Magalhães |,1996,90,1612.96
Roberto 'Roleta' Magalhães |,1996,91,1639.3
Roberto 'Roleta' Magalhães |,1996,92,1683.88
Roberto 'Roleta' Magalhães |,1997,120,1703.67
Roberto 'Roleta' Magalhães |,1998,234,1717.28
Roberto 'Roleta' Magalhães |,1998,235,1724.12
Roberto 'Roleta' Magalhães |,1998,241,1730.34
Roberto 'Roleta' Magalhães |,1998,243,1736.78
Roberto 'Roleta' Magalhães |,1998,245,1704.65
Roberto 'Roleta' Magalhães |,1999,260,1710.3
Roberto 'Roleta' Magalhães |,1999,261,1697.75
Roberto 'Roleta' Magalhães |,1999,274,1700.86
Roberto 'Roleta' Magalhães |,1999,279,1712.35
Roberto 'Roleta' Magalhães |,1999,292,1721.08
Roberto 'Roleta' Magalhães |,1999,293,1687.7
Roberto 'Roleta' Magalhães |,1999,300,1695.48
Roberto 'Roleta' Magalhães |,1999,302,1665.28
Roberto 'Roleta' Magalhães |,2000,392,1670.63
Roberto 'Roleta' Magalhães |,2000,394,1679.0
Roberto 'Roleta' Magalhães |,2000,395,1693.71
Roberto 'Roleta' Magalhães |,2000,428,1703.59
Roberto 'Roleta' Magalhães |,2000,434,1691.37
Roberto 'Roleta' Magalhães |,2000,460,1680.49
Roberto 'Roleta' Magalhães |,2000,482,1686.31
Ricardo Miller,1996,77,1468.0
Saulo Ribeiro,1996,78,1465.49
Saulo Ribeiro,1996,89,1439.9
Saulo Ribeiro,1999,293,1506.66
Saulo Ribeiro,2002,705,1484.58
Saulo Ribeiro,2005,1192,1466.35
Rigan Machado,1996,81,1519.43
Carlos Pedro,1996,87,1473.13
Fabio Gurgel,1996,90,1521.92
Fabio Gurgel,2009,2143,1514.57
Wallid Ismail,1996,91,1478.05
Luiz Duarte,1996,92,1475.23
Anderson Xavier,1997,120,1483.51
Mario Sperry,1998,234,1492.43
Mario Sperry,1998,245,1556.69
Mario Sperry,1999,296,1510.22
Leo Dalla,1998,235,1485.76
Leo Dalla,1999,261,1510.86
Vinicius Cruz,1998,241,1493.09
Vinicius Cruz,2019,20844,1479.73
Vinicius Cruz,2019,22344,1465.13
Murilo Bustamante,1998,243,1486.57
Unknown,1999,260,1492.47
Unknown,2001,488,1477.1
Unknown,2002,687,1466.22
Unknown,2002,708,1451.77
Unknown,2003,749,1440.74
Unknown,2003,929,1431.36
Unknown,2004,1106,1425.97
Unknown,2005,1291,1417.81
Unknown,2006,1346,1408.78
Unknown,2006,1347,1403.35
Unknown,2006,1507,1400.91
Unknown,2006,1518,1399.37
Unknown,2007,1589,1395.71
Unknown,2007,1605,1392.91
Unknown,2007,1623,1390.54
Unknown,2007,1625,1386.05
Unknown,2008,2000,1383.91
Unknown,2008,2001,1381.82
Unknown,2009,2109,1379.5
Unknown,2010,2488,1377.78
Unknown,2011,2811,1376.12
Unknown,2011,2812,1374.49
Unknown,2011,2813,1371.31
Unknown,2011,2835,1368.59
Unknown,2011,2838,1365.96
Unknown,2011,2871,1364.33
Unknown,2011,2934,1362.49
Unknown,2011,2954,1357.16
Unknown,2011,2984,1354.9
Unknown,2011,2989,1352.71
Unknown,2011,3018,1351.42
Unknown,2011,3030,1349.99
Unknown,2011,3031,1347.88
Unknown,2011,3039,1347.16
Unknown,2011,3060,1344.88
Unknown,2011,3069,1342.67
Unknown,2011,3199,1341.45
Unknown,2011,3200,1340.26
Unknown,2011,3201,1339.11
Unknown,2011,3202,1336.87
Unknown,2012,3717,1333.9
Unknown,2012,3751,1327.49
Unknown,2012,3838,1323.55
Unknown,2012,4013,1321.91
