Year,Rank,Fighter,Elo
1996,1,Roberto 'Roleta' Magalhães |,1683.88
1996,2,Fabio Gurgel,1521.92
1996,3,Rigan Machado,1519.43
1997,1,Roberto 'Roleta' Magalhães |,1703.67
1997,2,Anderson Xavier,1483.51
1998,1,Roberto 'Roleta' Magalhães |,1704.65
1998,2,Mario Sperry,1556.69
1998,3,Vinicius Cruz,1493.09
1999,1,Roberto 'Roleta' Magalhães |,1665.28
1999,2,Rodrigo Comprido,1560.4
1999,3,Leonardo Leite |,1555.76
2000,1,Roberto 'Roleta' Magalhães |,1686.31
2000,2,Leonardo Leite |,1586.81
2000,3,Rodrigo Comprido,1582.16
2001,1,Baret Yoshida |,1713.16
2001,2,Royler Gracie,1580.08
2001,3,"Marcio Cruz ""Pe de Pano"" |",1577.07
2002,1,"Marcio Cruz ""Pe de Pano"" |",1697.56
2002,2,Baret Yoshida |,1693.68
2002,3,Daniel Moraes,1549.84
2003,1,"Marcio Cruz ""Pe de Pano"" |",1847.57
2003,2,Marcelo Garcia |,1738.64
2003,3,Baret Yoshida |,1706.61
2004,1,"Marcio Cruz ""Pe de Pano"" |",1848.96
2004,2,Marcelo Garcia |,1774.08
2004,3,Leonardo Leite |,1701.03
2005,1,"Marcio Cruz ""Pe de Pano"" |",1823.78
2005,2,Marcelo Garcia |,1811.22
2005,3,Leonardo Leite |,1724.11
2006,1,Marcelo Garcia |,1852.85
2006,2,"Marcio Cruz ""Pe de Pano"" |",1758.87
2006,3,Marcelo Garcia,1721.04
2007,1,Marcelo Garcia |,1907.59
2007,2,Rubens Charles Cobrinha |,1772.12
2007,3,"Marcio Cruz ""Pe de Pano"" |",1763.93
2008,1,Rubens Charles Cobrinha |,1854.07
2008,2,André Galvão |,1825.85
2008,3,Baret Yoshida |,1756.5
2009,1,Braulio Estima |,1912.29
2009,2,Marcelo Garcia |,1852.71
2009,3,André Galvão |,1850.3
2010,1,Marcelo Garcia |,1877.88
2010,2,Braulio Estima |,1840.34
2010,3,Rubens Charles Cobrinha |,1814.06
2011,1,André Galvão |,1946.55
2011,2,Marcelo Garcia |,1936.67
2011,3,Braulio Estima |,1855.23
2012,1,André Galvão |,1887.46
2012,2,Rafael Mendes,1876.07
2012,3,"Marcus Almeida ""Buchecha"" |",1871.5
2013,1,"Marcus Almeida ""Buchecha"" |",1944.36
2013,2,"Gabrielle ""Gabi"" Garcia |",1913.07
2013,3,André Galvão |,1885.76
2014,1,"Marcus Almeida ""Buchecha"" |",2013.63
2014,2,"Gabrielle ""Gabi"" Garcia |",1941.18
2014,3,André Galvão |,1929.02
2015,1,"Marcus Almeida ""Buchecha"" |",2015.51
2015,2,André Galvão |,1957.01
2015,3,Rafael Mendes,1943.75
2016,1,"Marcus Almeida ""Buchecha"" |",2048.15
2016,2,Leandro Lo |,1986.55
2016,3,Rafael Mendes,1959.23
2017,1,"Marcus Almeida ""Buchecha"" |",2081.12
2017,2,"Felipe ""Preguiça"" Pena |",2074.86
2017,3,Marcus Almeida,2035.0
2018,1,"Marcus Almeida ""Buchecha"" |",2105.91
2018,2,"Felipe ""Preguiça"" Pena |",2097.61
2018,3,Marcus Almeida,2068.53
2019,1,Gordon Ryan |,2121.93
2019,2,"Felipe ""Preguiça"" Pena |",2080.23
2019,3,"Marcus Almeida ""Buchecha"" |",2072.82
2020,1,Gordon Ryan |,2131.09
2020,2,"Felipe ""Preguiça"" Pena |",2087.06
2020,3,Kaynan Duarte,2063.08
2021,1,Gordon Ryan |,2134.75
2021,2,"Felipe ""Preguiça"" Pena |",2083.87
2021,3,Kaynan Duarte,2045.19
2022,1,Gordon Ryan |,2186.26
2022,2,Kaynan Duarte,2081.54
2022,3,Kaynan Duarte |,2067.83
2023,1,Gordon Ryan |,2187.94
2023,2,Nicholas Meregali |,2144.49
2023,3,Gabrieli Pessanha |,2127.04
2024,1,Gordon Ryan |,2202.61
2024,2,Gabrieli Pessanha |,2193.8
2024,3,Kaynan Duarte |,2184.17
2025,1,Gabrieli Pessanha |,2199.63
2025,2,Mica Galvão |,2151.86
2025,3,Kaynan Duarte |,2142.97
